maintenance,2020/2/4,proc: convert everything to "struct proc_ops",-7,7,,other,v5.x
reliability robust,2020/2/4,pc/msg.c: consolidate all xxxctl_down() functions,-9,10,,message,v5.x
performance store optimization,2020/2/4,pc/sem.c: document and update memory barriers,-25,41,,semaphore,v5.x
maintenance,2020/2/4,pc/msg.c: update and document memory barriers,-7,36,,message,v5.x
performance access optimization,2020/2/4,pc/mqueue.c: update/document memory barriers,-14,78,,message queue,v5.x
reliability annotation,2020/2/4,pc/mqueue.c: remove duplicated code,-13,18,,message queue,v5.x
performance access optimization,2019/12/9,reewide: Use sizeof_field() macro,-1,1,,other,v5.x
feature,2019/11/15,y2038: remove CONFIG_64BIT_TIME,-1,1,,other,v5.x
reliability error enhancement,2019/9/25,pc/sem.c: convert to use built-in RCU list checking,-1,2,,semaphore,v5.x
performance store optimization,2019/9/25,pc/mqueue: improve exception handling in do_mq_notify(),-12,8,,message queue,v5.x
performance access optimization,2019/9/25,pc/mqueue.c: delete an unnecessary check before the macro call dev_kfree_skb(),-1,1,,message queue,v5.x
maintenance,2019/9/18,Merge branch 'work.mount-base' of ?,-2,1,,message queue,v5.x
performance speed optimization,2019/9/7,pc: fix sparc64 ipc() wrapper,-23,2,,other,v5.x
reliability debug,2019/9/5,new helper: get_tree_keyed(),-2,1,,message queue,v5.x
reliability corruption defense,2019/7/19,Merge branch 'work.mount0' of ?,-4,5,,message queue,v5.x
maintenance,2019/7/18,proc/sysctl: add shared variables for range check,-19,16,,other,v5.x
feature,2019/7/16,pc/mqueue.c: only perform resource calculation if user valid,-9,10,,message queue,v5.x
performance access optimization,2019/6/5,reewide: Replace GPLv2 boilerplate/reference with SPDX - rule 441,-10,2,,other,v5.x
reliability annotation,2019/5/25,mqueue: set ->user_ns before ->get_tree(),-4,5,,message queue,v5.x
performance access optimization,2019/5/24,reewide: Replace GPLv2 boilerplate/reference with SPDX - rule 52,-5,1,,other,v5.x
reliability annotation,2019/5/14,pc: do cyclic id allocation for the ipc object.,-1,11,,other,v5.x
bug semantic generic,2019/5/14,pc: conserve sequence numbers in ipcmni_extend mode,-9,34,error,other,v5.x
reliability debug,2019/5/14,pc: allow boot time extension of IPCMNI from 32k to 16M,-15,51,,other,v5.x
feature,2019/5/14,pc/mqueue: optimize msg_get(),-25,35,,message queue,v5.x
reliability debug,2019/5/14,pc/mqueue: remove redundant wq task assignment,-2,0,,message queue,v5.x
reliability robust,2019/5/14,pc: prevent lockup on alloc_msg and free_msg,-2,14,,message queue other,v5.x
maintenance,2019/5/7,Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net-next,-1,0,,other,v5.x
performance access optimization,2019/5/1,mqueue: switch to ->free_inode(),-8,2,,message queue,v5.x
feature,2019/4/7,rhashtable: use bit_spin_locks to protect hash bucket.,-1,0,,other,v5.x
reliability annotation,2019/3/12,Merge branch 'work.mount' of ?,-23,73,,message queue other,v5.x
reliability corruption defense,2019/3/7,pc/sem.c: replace kvmalloc/memset with kvzalloc and use struct_size,-5,1,,semaphore,v5.x
bug errorCode wrongError,2019/3/7,pc: annotate implicit fall through,0,1,error,semaphore,v5.x
reliability annotation,2019/2/28,pc: Convert mqueue fs to fs_context,-23,73,,message queue other,v4.x
feature,2019/2/7,y2038: syscalls: rename y2038 compat syscalls,-9,9,,message queue semaphore,v4.x
performance store optimization,2019/1/25,pc: rename old-style shmctl/semctl/msgctl syscalls,-41,110,,message semaphore shared memory other,v4.x
feature,2019/1/18,pc: introduce ksys_ipc()/compat_ksys_ipc() for s390,-4,16,,other,v4.x
reliability debug,2018/10/31,pc: IPCMNI limit check for semmni,-1,31,,other,v4.x
reliability debug,2018/10/31,pc: IPCMNI limit check for msgmni and shmmni,-2,5,,other,v4.x
maintenance,2018/10/25,Merge branch 'timers-core-for-linus' of ?,-17,17,,message queue message semaphore shared memory other,v4.x
bug memory resourceLeak,2018/10/24,Merge branch 'siginfo-linus' of ?,-1,1,corruption,message queue,v4.x
feature,2018/10/5,pc/shm.c: use ERR_CAST() for shm_lock() error return,-1,1,,shared memory,v4.x
reliability error enhancement,2018/10/3,signal: Distinguish between kernel_siginfo and siginfo,-1,1,,message queue,v4.x
performance store optimization,2018/9/4,pc/shm: properly return EIDRM in shm_lock(),0,1,,shared memory,v4.x
feature,2018/8/27,y2038: globally rename compat_time to old_time32,-17,17,,message queue message semaphore shared memory other,v4.x
bug semantic generic,2018/8/22,pc/util.c: update return value of ipc_getref from int to bool,-2,2,error,other,v4.x
feature,2018/8/22,pc/util.c: further variable name cleanups,-26,26,,message semaphore shared memory other,v4.x
feature,2018/8/22,pc: simplify ipc initialization,-54,30,,message other semaphore shared memory,v4.x
bug semantic I/OTiming,2018/8/22,pc: get rid of ids->tables_initialized hack,-15,8,hang,other,v4.x
performance speed optimization,2018/8/22,pc: drop ipc_lock(),-43,23,,shared memory other,v4.x
feature,2018/8/22,pc/util.c: correct comment in ipc_obtain_object_check,-2,2,,other,v4.x
